Titulo,Vendas_Totais
NBA 2K14,6.72
Madden NFL 11,6.68
Teenage Mutant Ninja Turtles,6.67
Big Brain Academy,6.67
Star Wars: Battlefront II,6.67
The Lord of the Rings: The Two Towers,6.65
Tony Hawk's Pro Skater 2,6.62
Just Dance 2014,6.58
Madden NFL 13,6.53
The Legend of Zelda,6.51
Tony Hawk's Underground,6.47
Halo: Combat Evolved,6.47
Finding Nemo,6.46
Resident Evil 2,6.44
Kung Fu Panda,6.42
Need for Speed Carbon,6.42
Madden NFL 2002,6.41
Pok?mon Emerald Version,6.41
Pok?mon Crystal Version,6.39
FIFA Soccer 07,6.38
LEGO Batman 2: DC Super Heroes,6.37
Michael Jackson: The Experience,6.37
The Legend of Zelda: The Wind Waker,6.37
Frogger,6.36
Halo 3: ODST,6.36
Super Mario Sunshine,6.31
Street Fighter II: The World Warrior,6.3
World of Warcraft,6.28
Driver,6.27
Skylanders SWAP Force,6.26
Kinect Sports,6.24
Gears of War 3,6.24
Carnival Games,6.15
Golf,6.13
Gears of War,6.13
Metal Gear Solid,6.1
NBA 2K13,6.1
The Simpsons: Road Rage,6.09
Toy Story 3: The Video Game,6.08
Dragon Quest VIII: Journey of the Cursed King,6.07
Grand Theft Auto: Vice City Stories,6.05
Metal Gear Solid 2: Sons of Liberty,6.05
Sonic the Hedgehog 2,6.03
Metal Gear Solid 4: Guns of the Patriots,6.03
Tom Clancy's Splinter Cell,6.0
Tom Clancy's The Division,5.99
Pro Evolution Soccer 2010,5.98
Final Fantasy XII,5.95
L.A. Noire,5.95
Need for Speed: Hot Pursuit,5.89
Madden NFL 2003,5.89
Dragon Quest VII: Warriors of Eden,5.89
Middle-Earth: Shadow of Mordor,5.85
Dragon Quest IX: Sentinels of the Starry Skies,5.84
Mass Effect 3,5.78
Monster Hunter Tri,5.76
Tony Hawk's Pro Skater 4,5.75
Tekken 2,5.74
Borderlands,5.73
Cooking Mama,5.72
The Lord of the Rings: The Return of the King,5.67
Tomb Raider,5.66
Donkey Kong,5.66
Kingdom Hearts II,5.65
LEGO Pirates of the Caribbean: The Video Game,5.65
Saints Row: The Third,5.64
The Witcher 3: Wild Hunt,5.64
Madden NFL 12,5.62
Star Wars Episode III: Revenge of the Sith,5.59
Skylanders Giants,5.59
Star Wars: Battlefront,5.56
Super Smash Bros.,5.55
Fight Night Round 3,5.55
Madden NFL 25,5.54
NBA 2K12,5.53
Winning Eleven: Pro Evolution Soccer 2007,5.53
Forza Motorsport 3,5.51
Monster Hunter Freedom Unite,5.5
Sega Superstars Tennis,5.49
Super Mario Advance,5.49
God of War III,5.47
Mario Kart: Super Circuit,5.47
Sonic Heroes,5.46
Asteroids,5.46
Fable III,5.45
Pokemon Stadium,5.45
Skylanders: Spyro's Adventure,5.44
Need for Speed: Shift,5.42
NBA 2K11,5.42
MySims,5.4
Batman: Arkham Knight,5.37
Resident Evil,5.34
The LEGO Movie Videogame,5.33
Rock Band 2,5.32
Pokemon Pinball,5.31
Final Fantasy IX,5.3
Final Fantasy X-2,5.29
Resident Evil 6,5.28
The Incredibles,5.27
Donkey Kong 64,5.27
Professor Layton and the Curious Village,5.26
LEGO Indiana Jones 2: The Adventure Continues,5.23
NBA Jam,5.22
WWE SmackDown vs. Raw 2010,5.21
True Crime: Streets of LA,5.21
Super Mario Land 3: Wario Land,5.19
New Super Mario Bros. U,5.19
The Legend of Zelda: Phantom Hourglass,5.17
LEGO Harry Potter: Years 5-7,5.17
Donkey Kong Country 2: Diddy's Kong Quest,5.15
Tomodachi Life,5.15
James Bond 007: Agent Under Fire,5.15
FIFA Soccer 06,5.13
Kirby's Dream Land,5.13
Microsoft Flight Simulator,5.12
Disney Infinity,5.12
Need for Speed Rivals,5.11
Metal Gear Solid V: The Phantom Pain,5.08
James Bond 007: Nightfire,5.06
Warzone 2100,5.01
Link's Crossbow Training,5.0
Spyro the Dragon,5.0
Mass Effect 2,4.99
LEGO Jurassic World,4.98
The Sims: Bustin' Out,4.98
Batman: Arkham Origins,4.97
Mario & Sonic at the London 2012 Olympic Games,4.97
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,4.96
Sonic Unleashed,4.95
Uncharted: Drake's Fortune,4.94
Guitar Hero 5,4.94
Wall-E,4.92
Dead Island,4.9
FIFA Soccer 2005,4.89
Diddy Kong Racing,4.88
WWE SmackDown vs. Raw 2009,4.88
Monster Hunter Freedom 3,4.87
Titanfall,4.86
Just Dance 2015,4.85
StarCraft II: Wings of Liberty,4.83
Enter the Matrix,4.83
Crazy Taxi,4.82
Dragon Age: Inquisition,4.81
Baseball,4.81
Midnight Club: Los Angeles,4.8
Crash Team Racing,4.79
Dragon Age: Origins,4.77
Assassin's Creed Syndicate,4.76
Skate 3,4.76
Saints Row 2,4.76
Ghostbusters: The Video Game (DS Version),4.75
Driver 2,4.73
Half-Life,4.72
The SpongeBob SquarePants Movie,4.7
BioShock,4.69
WWF War Zone,4.69
Animal Crossing: City Folk,4.68
Dragon Warrior III,4.68
Forza Motorsport 4,4.64
Portal 2,4.6
Spider-Man,4.59
Luigi's Mansion: Dark Moon,4.58
Lego Batman 3: Beyond Gotham,4.58
Max Payne,4.58
Namco Museum: 50th Anniversary,4.57
Splatoon,4.57
SoulCalibur II,4.56
pro evolution soccer 2011,4.52
World Soccer Winning Eleven 9,4.5
Marvel: Ultimate Alliance,4.5
Pitfall!,4.5
Call of Duty: Finest Hour,4.5
Ben 10: Protector of Earth,4.49
Uncharted: The Nathan Drake Collection,4.47
Ratatouille,4.46
God of War,4.45
Nintendo Land,4.44
Dragon Quest V: Tenkuu no Hanayome,4.44
LEGO The Lord of the Rings,4.43
The Sims 2,4.42
SpongeBob SquarePants: Battle for Bikini Bottom,4.42
Tekken 6,4.41
FIFA Soccer 2004,4.4
Midnight Club 3: DUB Edition,4.4
Skylanders: Trap Team,4.4
BioShock Infinite,4.39
Zelda II: The Adventure of Link,4.38
Left 4 Dead 2,4.36
Resistance: Fall of Man,4.35
Fable II,4.31
Dishonored,4.3
Guitar Hero: Aerosmith,4.3
Hitman 2: Silent Assassin,4.28
Need for Speed: The Run,4.27
Halo 5: Guardians,4.26
Battlefield: Hardline,4.26
Super Mario 3D World,4.25
ESPN NFL 2K5,4.25
SimCity 2000,4.24
Metal Gear Solid 3: Snake Eater,4.23
Daxter,4.22
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,4.21
Warcraft II: Tides of Darkness,4.21
Gran Turismo 5 Prologue,4.2
EyeToy Play,4.2
Hitman: Absolution,4.2
Uncharted 4: A Thief's End,4.2
The Beatles: Rock Band,4.18
Sonic Generations,4.17
Tomb Raider III: Adventures of Lara Croft,4.16
Tennis,4.16
Excitebike,4.16
FIFA Soccer 2003,4.16
The Evil Within,4.15
Call Of Duty 2: Big Red One,4.12
Tony Hawk's Underground 2,4.11
Mortal Kombat X,4.1
The Legend of Zelda: Skyward Sword,4.1
Street Fighter II Turbo,4.1
World of Warcraft: The Burning Crusade,4.09
Star Wars: The Force Unleashed II,4.08
God of War II,4.07
Rhythm Heaven,4.07
Ratchet & Clank: Size Matters,4.06
Forza Motorsport 2,4.06
Namco Museum Vol.3,4.05
Tekken Tag Tournament,4.05
Dragon Ball Z: Budokai Tenkaichi 3,4.04
Star Fox 64,4.03
Dead Space,4.03
Rugrats in Paris: The Movie,4.02
Tetris Worlds,4.01
Professor Layton and the Diabolical Box,4.0
BioShock 2,4.0
Burnout 3: Takedown,3.99
Max Payne 3,3.99
Tom Clancy's Ghost Recon,3.99
The Sims 2: Pets,3.98
Tom Clancy's Rainbow Six: Vegas,3.95
Disney Infinity 2.0: Marvel Super Heroes,3.95
World Soccer Winning Eleven 8 International,3.94
NBA Live 2005,3.94
Mortal Kombat vs. DC Universe,3.93
007: Quantum of Solace,3.92
EA Sports Active,3.92
Donkey Kong Land,3.91
Wheel of Fortune,3.89
The Elder Scrolls Online,3.89
Monster Hunter 4 Ultimate,3.89
MotorStorm,3.88
Injustice: Gods Among Us,3.87
Sports Champions,3.87
Mario Bros.,3.87
Mortal Kombat: Deadly Alliance,3.87
Tekken 5,3.87
Destiny: The Taken King,3.87
Namco Museum Vol.1,3.84
UFC 2009 Undisputed,3.84
Flash Focus: Vision Training in Minutes a Day,3.84
The Legend of Zelda: Link's Awakening,3.83
Mario & Luigi: Bowser's Inside Story,3.83
Big Brain Academy: Wii Degree,3.82
Sonic Mega Collection Plus,3.81
Resident Evil Director's Cut,3.81
Nintendogs + cats,3.81
Madden NFL 2001,3.81
Resident Evil 3: Nemesis,3.8
Tom Clancy's Rainbow Six: Vegas 2,3.79
Chrono Trigger,3.78
Dragon Ball Z: Budokai,3.78
WWE SmackDown vs. RAW 2007,3.76
The Sims: Unleashed,3.76
Super Paper Mario,3.76
Saints Row IV,3.76
Mortal Kombat Trilogy,3.75
Need for Speed: Hot Pursuit 2,3.73
The Sims,3.73
Spyro: Year of the Dragon,3.71
Pok?mon Trading Card Game,3.7
Sonic's Ultimate Genesis Collection,3.7
Friend Collection,3.67
Tom Clancy's Rainbow Six: Siege,3.66
Cars 2,3.66
Banjo-Kazooie,3.66
Doom II: Hell on Earth,3.65
Pro Evolution Soccer 2012,3.65
SOCOM: U.S. Navy SEALs,3.65
High School Musical: Sing It!,3.64
Jak and Daxter: The Precursor Legacy,3.64
Gran Turismo 6,3.64
Prince of Persia: The Sands of Time,3.63
Pokemon Snap,3.63
Wolfenstein: The New Order,3.63
Rocksmith 2014,3.62
Mass Effect,3.61
Cooking Mama 2: Dinner With Friends,3.61
Luigi's Mansion,3.6
Mario Tennis,3.59
Sonic & Sega All-Stars Racing,3.58
WWF SmackDown!,3.58
Croc: Legend of the Gobbos,3.56
WWE SmackDown vs. Raw 2011,3.54
James Bond 007: Everything or Nothing,3.54
The Getaway,3.54
Left 4 Dead,3.54
Iron Man,3.53
Just Cause 2,3.53
Spyro 2: Ripto's Rage!,3.52
Donkey Kong Country 3: Dixie Kong's Double Trouble!,3.51
Kung Fu,3.5
Clubhouse Games,3.5
Far Cry 2,3.49
Deus Ex: Human Revolution,3.49
Guitar Hero: On Tour,3.48
Avatar: The Game,3.48
Mafia II,3.47
Madagascar,3.45
Monster Hunter 4,3.44
Tekken 4,3.44
Shrek 2,3.43
Mortal Kombat 3,3.42
Grand Theft Auto 2,3.42
A Bug's Life,3.42
Spider-Man 3,3.42
LittleBigPlanet 2,3.42
Final Fantasy XIII-2,3.42
F-1 Race,3.41
Band Hero,3.4
Crash Bash,3.39
Ghostbusters: The Video Game,3.39
Peter Jackson's King Kong: The Official Game of the Movie,3.39
Crysis 2,3.39
Pure,3.38
The Legend of Zelda: Spirit Tracks,3.38
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",3.37
Rayman Legends,3.36
Professor Layton and the Unwound Future,3.36
NCAA Football 07,3.36
The Legend of Zelda: Majora's Mask,3.36
X-Men Legends,3.36
Rugrats: Search For Reptar,3.34
WWE SmackDown! vs. RAW 2006,3.34
Final Fantasy XIV: A Realm Reborn,3.34
Burnout Paradise,3.33
English Training: Have Fun Improving Your Skills!,3.33
Ratchet & Clank,3.33
Rage,3.32
Mario Party 9,3.32
SSX,3.31
Dead Space 2,3.29
Tomb Raider: Underworld,3.29
Gran Turismo (PSP),3.27
Wii Music,3.27
Command & Conquer: Red Alert,3.26
Monster Hunter X,3.26
Space Invaders,3.26
Harry Potter and the Half-Blood Prince,3.24
Tekken,3.24
Plants vs. Zombies: Garden Warfare,3.23
WWE 2K15,3.23
Rayman Origins,3.22
Yokai Watch 2 Ganso/Honke,3.22
NBA Street,3.21
007: Tomorrow Never Dies,3.21
Missile Command,3.21
Disney's The Lion King,3.2
WWF SmackDown! 2: Know Your Role,3.2
Killer Instinct,3.2
Dance Central,3.19
Crisis Core: Final Fantasy VII,3.19
God of War: Chains of Olympus,3.19
Dragon Quest VI: Maboroshi no Daichi,3.19
Super Mario Maker,3.18
NBA Street Vol. 2,3.17
Ace Combat 04: Shattered Skies,3.17
